shuffled,Metadata_Well,Metadata_siRNA,average_precision,p_value,n_pos_pairs,n_total_pairs
Features Shuffled,B11,No Construct,0.6935564363969936,0.05263158,14,29
Features Shuffled,B2,No Construct,0.5964955725880097,0.23784144,14,29
Features Shuffled,B5,No Construct,0.4532401618969941,0.81812125,14,29
Features Shuffled,B8,No Construct,0.4972672821104128,0.65423054,14,29
Features Shuffled,C11,No Construct,0.45293734878321346,0.8201199,14,29
Features Shuffled,C2,No Construct,0.6645176959672758,0.09327115,14,29
Features Shuffled,C5,No Construct,0.6457697395197395,0.12191872,14,29
Features Shuffled,C8,No Construct,0.632398910519352,0.1452365,14,29
Features Shuffled,D11,No Construct,0.5524244202649775,0.3997335,14,29
Features Shuffled,D2,No Construct,0.579615257246977,0.29713523,14,29
Features Shuffled,D5,No Construct,0.5131665961036622,0.5776149,14,29
Features Shuffled,D8,No Construct,0.6950417803687807,0.049300466,14,29
Features Shuffled,E11,No Construct,0.5202717191324305,0.550966,14,29
Features Shuffled,F11,No Construct,0.4258191270908292,0.91339105,14,29
Features Shuffled,G11,No Construct,0.5168439140799389,0.5622918,14,29
Features Shuffled,B10,Scramble,0.6114878613610865,0.19120586,14,29
Features Shuffled,B3,Scramble,0.5994533977287376,0.22984678,14,29
Features Shuffled,B4,Scramble,0.6517767040602261,0.11059294,14,29
Features Shuffled,B6,Scramble,0.4732017373464742,0.7475017,14,29
Features Shuffled,B7,Scramble,0.5026898606247842,0.6329114,14,29
Features Shuffled,B9,Scramble,0.4599486161986162,0.79480344,14,29
Features Shuffled,E10,Scramble,0.6160809039516965,0.18254498,14,29
Features Shuffled,E2,Scramble,0.5438799576223345,0.44503665,14,29
Features Shuffled,E3,Scramble,0.498411536609618,0.64956695,14,29
Features Shuffled,E4,Scramble,0.4783835670117678,0.72951365,14,29
Features Shuffled,E5,Scramble,0.5451789395963738,0.43837443,14,29
Features Shuffled,E6,Scramble,0.47455862149774036,0.7428381,14,29
Features Shuffled,E7,Scramble,0.5388252950752951,0.4616922,14,29
Features Shuffled,E8,Scramble,0.60767156590686,0.20586276,14,29
Features Shuffled,E9,Scramble,0.5047461580921636,0.6209194,14,29
Features Shuffled,B11,No Construct,0.480359734213358,0.7221852,14,29
Features Shuffled,B2,No Construct,0.5891153173858225,0.25982678,14,29
Features Shuffled,B5,No Construct,0.6969794668572863,0.0473018,14,29
Features Shuffled,B8,No Construct,0.6262196245116909,0.16189207,14,29
Features Shuffled,C11,No Construct,0.595574973284333,0.23917389,14,29
Features Shuffled,C2,No Construct,0.5224855411347503,0.5376416,14,29
Features Shuffled,C5,No Construct,0.635050778022097,0.14257161,14,29
Features Shuffled,C8,No Construct,0.5937841714935311,0.24383745,14,29
Features Shuffled,D11,No Construct,0.6104549808429118,0.19320454,14,29
Features Shuffled,D2,No Construct,0.4408447479022013,0.8647568,14,29
Features Shuffled,D5,No Construct,0.4558306736506038,0.80879414,14,29
Features Shuffled,D8,No Construct,0.7189531646298564,0.027315123,14,29
