shuffled,Metadata_Well,Metadata_siRNA,average_precision,p_value,n_pos_pairs,n_total_pairs
Not Shuffled,B11,No Construct,0.48904921097440907,0.68754166,14,29
Not Shuffled,B2,No Construct,0.48871594005066743,0.68754166,14,29
Not Shuffled,B5,No Construct,0.5613235556682536,0.3610926,14,29
Not Shuffled,B8,No Construct,0.47022122067217687,0.75882745,14,29
Not Shuffled,C11,No Construct,0.43163312877285775,0.8967355,14,29
Not Shuffled,C2,No Construct,0.8701384656426673,0.00066622254,14,29
Not Shuffled,C5,No Construct,0.38804732332523667,0.9793471,14,29
Not Shuffled,C8,No Construct,0.4150340270976547,0.93870753,14,29
Not Shuffled,D11,No Construct,0.471600601095675,0.75416386,14,29
Not Shuffled,D2,No Construct,0.7591541919798223,0.009993338,14,29
Not Shuffled,D5,No Construct,0.58990275270528,0.25849435,14,29
Not Shuffled,D8,No Construct,0.6248366568436051,0.16522318,14,29
Not Shuffled,E11,No Construct,0.44074943018239227,0.8660893,14,29
Not Shuffled,F11,No Construct,0.7611094005139781,0.0093271155,14,29
Not Shuffled,G11,No Construct,0.7130387132556478,0.033311125,14,29
Not Shuffled,B10,Scramble,0.5827774913873311,0.2811459,14,29
Not Shuffled,B3,Scramble,0.5575261707589411,0.3784144,14,29
Not Shuffled,B4,Scramble,0.5757238740791372,0.30912724,14,29
Not Shuffled,B6,Scramble,0.8605422870902747,0.00066622254,14,29
Not Shuffled,B7,Scramble,0.5578246226720353,0.3784144,14,29
Not Shuffled,B9,Scramble,0.5186597416744475,0.55429715,14,29
Not Shuffled,E10,Scramble,0.8747141747141747,0.00066622254,14,29
Not Shuffled,E2,Scramble,0.690689740808604,0.05529647,14,29
Not Shuffled,E3,Scramble,0.8655206420686297,0.00066622254,14,29
Not Shuffled,E4,Scramble,0.7306556354599257,0.021985343,14,29
Not Shuffled,E5,Scramble,0.7921477403163556,0.0033311127,14,29
Not Shuffled,E6,Scramble,0.8676851442331318,0.00066622254,14,29
Not Shuffled,E7,Scramble,0.8030233308911943,0.0033311127,14,29
Not Shuffled,E8,Scramble,0.8605422870902747,0.00066622254,14,29
Not Shuffled,E9,Scramble,0.8635443574836495,0.00066622254,14,29
Not Shuffled,B11,No Construct,0.5613243513081471,0.3610926,14,29
Not Shuffled,B2,No Construct,0.4303267143239804,0.90339774,14,29
Not Shuffled,B5,No Construct,0.6368153639036055,0.14057295,14,29
Not Shuffled,B8,No Construct,0.392555753070459,0.9746835,14,29
Not Shuffled,C11,No Construct,0.6085922852678102,0.20253165,14,29
